form_id,field_id,Name,Course title,Question,Answer,Get Real,Fill Buckets,Be Intentional,Foster Grit,Drive Growth,Alignment,Accountability,Communication,Leadership,Execution,FUSION Relationship Summary,COR Relationship Summary
398.0,98.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"4. Rate how well your manager helps you feel safe, secure, and protects you from harm.",-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,120.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,104.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,5. Rate how well your manager listens to ideas or input and follows through with action.,-,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.5,1.0,1.0,Secondary: Be Intentional,"Primary: Leadership, Execution; Secondary: Communication; Tertiary: Accountability"
398.0,121.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,103.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"6. Rate how well your manager provides a fair, equitable, and inclusive work environment.",-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,122.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,102.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,7. Rate how well your manager displays empathy and emotional intelligence within the team.,-,1.0,1.0,0.25,0.25,0.25,0.5,0.5,1.0,1.0,0.5,"Primary: Get Real, Fill Buckets; Tertiary: Be Intentional, Foster Grit, Drive Growth","Primary: Communication, Leadership; Secondary: Alignment, Accountability, Execution"
398.0,123.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,101.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,8. Rate how well your manager contributes to social connection and a sense of belonging within the team.,-,0.25,1.0,0.0,0.25,0.0,0.5,0.5,0.5,1.0,0.5,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Primary: Leadership; Secondary: Alignment, Accountability, Communication, Execution"
398.0,124.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
